id,date,station,prcp,tobs
1,2010-01-01,USC00519397,0.08,65.0
2,2010-01-02,USC00519397,0.0,63.0
3,2010-01-03,USC00519397,0.0,74.0
4,2010-01-04,USC00519397,0.0,76.0
5,2010-01-06,USC00519397,,73.0
6,2010-01-07,USC00519397,0.06,70.0
7,2010-01-08,USC00519397,0.0,64.0
8,2010-01-09,USC00519397,0.0,68.0
9,2010-01-10,USC00519397,0.0,73.0
10,2010-01-11,USC00519397,0.01,64.0
11,2010-01-12,USC00519397,0.0,61.0
12,2010-01-14,USC00519397,0.0,66.0
13,2010-01-15,USC00519397,0.0,65.0
14,2010-01-16,USC00519397,0.0,68.0
15,2010-01-17,USC00519397,0.0,64.0
16,2010-01-18,USC00519397,0.0,72.0
17,2010-01-19,USC00519397,0.0,66.0
18,2010-01-20,USC00519397,0.0,66.0
19,2010-01-21,USC00519397,0.0,69.0
20,2010-01-22,USC00519397,0.0,67.0
21,2010-01-23,USC00519397,0.0,67.0
22,2010-01-24,USC00519397,0.01,71.0
23,2010-01-25,USC00519397,0.0,67.0
24,2010-01-26,USC00519397,0.04,76.0
25,2010-01-27,USC00519397,0.12,68.0
26,2010-01-28,USC00519397,0.0,72.0
27,2010-01-30,USC00519397,,70.0
28,2010-01-31,USC00519397,0.03,67.0
29,2010-02-01,USC00519397,0.01,66.0
30,2010-02-03,USC00519397,,67.0
31,2010-02-04,USC00519397,0.01,69.0
32,2010-02-05,USC00519397,0.0,67.0
33,2010-02-06,USC00519397,0.0,67.0
34,2010-02-07,USC00519397,0.0,64.0
35,2010-02-08,USC00519397,0.0,69.0
36,2010-02-09,USC00519397,0.0,73.0
37,2010-02-11,USC00519397,0.0,73.0
38,2010-02-12,USC00519397,0.02,69.0
39,2010-02-13,USC00519397,0.01,69.0
40,2010-02-14,USC00519397,0.0,69.0
41,2010-02-15,USC00519397,0.0,71.0
42,2010-02-16,USC00519397,0.0,61.0
43,2010-02-17,USC00519397,0.0,69.0
44,2010-02-19,USC00519397,,63.0
45,2010-02-20,USC00519397,0.03,64.0
46,2010-02-21,USC00519397,0.0,65.0
47,2010-02-22,USC00519397,0.0,67.0
48,2010-02-23,USC00519397,0.0,68.0
49,2010-02-24,USC00519397,0.0,65.0
50,2010-02-25,USC00519397,0.0,76.0
51,2010-02-26,USC00519397,0.0,75.0
52,2010-02-28,USC00519397,0.0,66.0
53,2010-03-01,USC00519397,0.01,70.0
54,2010-03-02,USC00519397,0.0,72.0
55,2010-03-03,USC00519397,0.0,73.0
56,2010-03-04,USC00519397,0.12,70.0
57,2010-03-05,USC00519397,0.08,71.0
58,2010-03-06,USC00519397,0.03,72.0
59,2010-03-07,USC00519397,0.0,72.0
60,2010-03-08,USC00519397,0.43,69.0
61,2010-03-09,USC00519397,0.06,70.0
62,2010-03-11,USC00519397,,73.0
63,2010-03-12,USC00519397,0.0,72.0
64,2010-03-13,USC00519397,0.0,73.0
65,2010-03-14,USC00519397,0.0,70.0
66,2010-03-15,USC00519397,0.06,71.0
67,2010-03-17,USC00519397,0.0,68.0
68,2010-03-18,USC00519397,0.0,70.0
69,2010-03-21,USC00519397,0.0,72.0
70,2010-03-22,USC00519397,0.0,69.0
71,2010-03-23,USC00519397,0.0,68.0
72,2010-03-24,USC00519397,0.0,74.0
73,2010-03-26,USC00519397,,72.0
74,2010-03-27,USC00519397,0.0,72.0
75,2010-03-28,USC00519397,0.0,73.0
76,2010-03-29,USC00519397,0.0,74.0
77,2010-03-30,USC00519397,0.0,73.0
78,2010-03-31,USC00519397,0.0,73.0
79,2010-04-01,USC00519397,0.0,74.0
80,2010-04-02,USC00519397,0.01,74.0
81,2010-04-03,USC00519397,0.17,74.0
82,2010-04-04,USC00519397,0.15,71.0
83,2010-04-05,USC00519397,0.27,72.0
84,2010-04-06,USC00519397,0.01,75.0
85,2010-04-08,USC00519397,0.0,75.0
86,2010-04-09,USC00519397,0.01,75.0
87,2010-04-10,USC00519397,0.0,75.0
88,2010-04-11,USC00519397,0.01,73.0
89,2010-04-12,USC00519397,0.01,73.0
90,2010-04-13,USC00519397,0.0,71.0
91,2010-04-15,USC00519397,0.0,71.0
92,2010-04-16,USC00519397,0.01,68.0
93,2010-04-17,USC00519397,0.0,70.0
94,2010-04-18,USC00519397,0.0,71.0
95,2010-04-19,USC00519397,0.0,74.0
96,2010-04-20,USC00519397,0.04,71.0
97,2010-04-21,USC00519397,0.01,75.0
98,2010-04-22,USC00519397,0.0,76.0
99,2010-04-23,USC00519397,0.02,75.0
100,2010-04-24,USC00519397,0.0,75.0
101,2010-04-25,USC00519397,0.0,76.0
102,2010-04-26,USC00519397,0.0,76.0
